"","Estimate","Interval"
"Unfished Spawning Biomass (mt)","NA","NA–NA"
"Unfished Age 0+ Biomass (mt)","NA","NA–NA"
"Unfished Recruitment (R0)","NA","NA–NA"
"Spawning Biomass (mt) (2022)","1,952","568–3,335"
"Fraction Unfished (2022)","0.21","0.05–0.37"
"Reference Points Based SB55%","",""
"Proxy Spawning Biomass (mt) SB55%","5,023","3,642–6,405"
"SPR Resulting in SB55%","0.550","0.550–0.550"
"Exploitation Rate Resulting in SB55%","0.333","0.303–0.362"
"Yield with SPR Based On SB55% (mt)","NA","NA–NA"
"Reference Points Based on SPR Proxy for MSY","",""
"Proxy Spawning Biomass (mt) (SPR60)","5,480","3,973–6,987"
"SPR60","0.600"," - "
"Exploitation Rate Corresponding to SPR60","0.277","0.252–0.301"
"Yield with SPR60 at SB SPR (mt)","NA","NA–NA"
"Reference Points Based on Estimated MSY Values","",""
"Spawning Biomass (mt) at MSY (SB MSY)","2,038","1,475–2,601"
"SPR MSY","0.223","0.221–0.225"
"Exploitation Rate Corresponding to SPR MSY","1.128","1.015–1.242"
"MSY (mt)","NA","NA–NA"
