"Year","Fishery","Total Landings"
2012,"1,158.90","1,158.90"
2013,"2,433.47","2,433.47"
2014,"1,219.58","1,219.58"
2015,"26.38","26.38"
2016,"434.47","434.47"
2017,"1,837.29","1,837.29"
2018,"2,685.41","2,685.41"
2019,"276.57","276.57"
2020,"1,754.34","1,754.34"
2021,"3,553.27","3,553.27"
2012,"3,299.71","3,299.71"
2013,"438.98","438.98"
2014,"1,470.64","1,470.64"
2015,"2,424.78","2,424.78"
2016,"1,880.44","1,880.44"
2017,"1,174.23","1,174.23"
2018,"1,351.94","1,351.94"
2019,"2,267.35","2,267.35"
2020,"2,253.82","2,253.82"
2021,"868.78","868.78"
2012,"1,051.18","1,051.18"
2013,"2,213.05","2,213.05"
2014,"1,140.53","1,140.53"
2015,"206.38","206.38"
2016,"235.83","235.83"
2017,"2,391.32","2,391.32"
2018,"1,413.98","1,413.98"
2019,"457.77","457.77"
2020,"322.28","322.28"
2021,"1,620.62","1,620.62"
2012,"1,889.19","1,889.19"
2013,"981.52","981.52"
2014,"1,286.49","1,286.49"
2015,"2,314.54","2,314.54"
2016,"2,603.51","2,603.51"
2017,"1,113.04","1,113.04"
2018,"644.27","644.27"
2019,"3,500.45","3,500.45"
2020,"2,796.18","2,796.18"
2021,"622.91","622.91"
