"Age","Ave_Length_f","Ave_Wght_f","Mature_f","Fecund_f"
0,"0.0","0.00","0.01","0.00"
1,"11.8","14.56","0.56","11.44"
2,"12.8","18.56","0.65","14.49"
3,"13.4","21.47","0.70","16.69"
0.25,"10.4","9.85","0.42","0.00"
1.25,"12.1","15.79","0.59","11.44"
2.25,"12.9","19.23","0.66","14.49"
3.25,"13.4","21.67","0.71","16.69"
0.5,"10.9","11.58","0.47","0.00"
1.5,"12.4","16.86","0.61","11.44"
2.5,"13.0","19.79","0.67","14.49"
3.5,"13.4","21.84","0.71","16.69"
0.75,"0.0","13.16","0.52","0.00"
1.75,"11.8","17.78","0.63","11.44"
2.75,"13.1","20.26","0.68","14.49"
3.75,"13.5","21.98","0.71","16.69"
